epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,523.21,0.83898,2.24064,1.21564,0.69955,0.59516,0.67837,0.51915,0.95881,2.04363,1.38158,0.000410354,0.000410354,0.000410354
2,1064.32,0.91393,1.52636,1.24406,0.7194,0.67593,0.75397,0.51102,1.16362,1.97987,1.62627,0.000786083,0.000786083,0.000786083
3,1598.28,0.95411,1.43103,1.26243,0.77412,0.70566,0.81532,0.56782,0.96702,2.11843,1.43278,0.00112056,0.00112056,0.00112056
4,2192.01,0.96152,1.35011,1.27724,0.81173,0.74253,0.83512,0.60994,1.03322,1.45913,1.50725,0.00106437,0.00106437,0.00106437
5,2708.09,0.94178,1.25786,1.25318,0.71795,0.60936,0.70535,0.47599,1.1483,2.00711,1.61464,0.0010025,0.0010025,0.0010025
6,3357.27,0.90271,1.17003,1.23203,0.81833,0.73739,0.83051,0.60355,0.99018,1.70082,1.42136,0.000940625,0.000940625,0.000940625
7,4132.91,0.86809,1.07937,1.20945,0.83261,0.77677,0.87521,0.64663,1.11808,1.12204,1.67779,0.00087875,0.00087875,0.00087875
8,4672.97,0.88699,1.05911,1.22791,0.78823,0.7518,0.82912,0.59468,1.05511,1.27911,1.50892,0.000816875,0.000816875,0.000816875
9,5326,0.81746,0.97361,1.18624,0.79389,0.75239,0.83251,0.64683,0.89023,1.2245,1.30687,0.000755,0.000755,0.000755
10,6161.11,0.82527,0.91348,1.17626,0.89411,0.8433,0.91247,0.70815,0.93688,0.8644,1.36275,0.000693125,0.000693125,0.000693125
11,7019.93,0.76358,0.9503,1.15733,0.8925,0.8179,0.89667,0.70067,0.92286,0.92428,1.31679,0.00063125,0.00063125,0.00063125
12,7868.5,0.69796,0.81094,1.11493,0.88552,0.81793,0.90672,0.70004,0.88004,1.025,1.27086,0.000569375,0.000569375,0.000569375
13,8661.94,0.69152,0.74706,1.11217,0.85557,0.821,0.90586,0.71291,0.88728,0.882,1.30366,0.0005075,0.0005075,0.0005075
14,9493.99,0.66466,0.71699,1.09703,0.91635,0.80721,0.90773,0.71304,0.87217,0.78223,1.28751,0.000445625,0.000445625,0.000445625
15,10327.3,0.6327,0.6365,1.05232,0.91267,0.83493,0.91924,0.74691,0.79062,0.72477,1.23536,0.00038375,0.00038375,0.00038375
16,11208,0.61023,0.63429,1.04716,0.91522,0.87306,0.93328,0.74996,0.87312,0.72109,1.30645,0.000321875,0.000321875,0.000321875
17,12064.9,0.58594,0.55851,1.02559,0.95645,0.83848,0.93937,0.76072,0.83203,0.78535,1.25395,0.00026,0.00026,0.00026
18,12982.9,0.58249,0.54404,1.02162,0.94234,0.85528,0.94227,0.77028,0.7765,0.73672,1.18614,0.000198125,0.000198125,0.000198125
19,13828.3,0.55369,0.5163,1.00433,0.94493,0.87072,0.94371,0.7697,0.81243,0.70701,1.22331,0.00013625,0.00013625,0.00013625
20,14364.5,0.52771,0.48157,0.97927,0.93607,0.87723,0.94628,0.77655,0.80919,0.64597,1.23696,7.4375e-05,7.4375e-05,7.4375e-05
